id,model,ai_model,pipeline_stage_id,pipeline_stage,content_num,content_group,times_assigned_human,total_assignments,proportions,content_group_sim_tfidf
P1_FlanT5_01,FlanT5,FlanT5,1,news,1,P1FlanT5,40,60,0.666666666666667,0.2090971928975498
P1_FlanT5_02,FlanT5,FlanT5,1,news,2,P1FlanT5,28,60,0.466666666666667,0.1130395854727517
P1_FlanT5_03,FlanT5,FlanT5,1,news,3,P1FlanT5,14,60,0.233333333333333,0.07271559640274158
P1_FlanT5_04,FlanT5,FlanT5,1,news,4,P1FlanT5,21,60,0.35,0.10456223937776013
P1_FlanT5_05,FlanT5,FlanT5,1,news,5,P1FlanT5,32,60,0.533333333333333,0.13375269377745838
P1_FlanT5_06,FlanT5,FlanT5,1,news,6,P1FlanT5,30,60,0.5,0.11111761314585912
P1_FlanT5_07,FlanT5,FlanT5,1,news,7,P1FlanT5,38,60,0.633333333333333,0.124374237665771
P1_FlanT5_08,FlanT5,FlanT5,1,news,8,P1FlanT5,20,60,0.333333333333333,0.14717984144965365
P1_FlanT5_09,FlanT5,FlanT5,1,news,9,P1FlanT5,33,60,0.55,0.16115152148598075
P1_FlanT5_10,FlanT5,FlanT5,1,news,10,P1FlanT5,30,60,0.5,0.14899696758252756
P1_FlanT5_11,FlanT5,FlanT5,1,news,11,P1FlanT5,32,60,0.533333333333333,0.17574042873649015
P1_FlanT5_12,FlanT5,FlanT5,1,news,12,P1FlanT5,27,60,0.45,0.11029246969348193
P1_FlanT5_13,FlanT5,FlanT5,1,news,13,P1FlanT5,29,60,0.483333333333333,0.05744636584790724
P1_FlanT5_14,FlanT5,FlanT5,1,news,14,P1FlanT5,32,60,0.533333333333333,0.10954567806551352
P1_FlanT5_15,FlanT5,FlanT5,1,news,15,P1FlanT5,20,60,0.333333333333333,0.1312732419788397
P2_FlanT5_01,FlanT5,FlanT5,2,reaction,1,P2FlanT5,27,60,0.45,0.03171259344784342
P2_FlanT5_02,FlanT5,FlanT5,2,reaction,2,P2FlanT5,46,60,0.766666666666667,0.04466427122202982
P2_FlanT5_03,FlanT5,FlanT5,2,reaction,3,P2FlanT5,36,60,0.6,0.03451375331075919
P2_FlanT5_04,FlanT5,FlanT5,2,reaction,4,P2FlanT5,45,60,0.75,0.07460092868157132
P2_FlanT5_05,FlanT5,FlanT5,2,reaction,5,P2FlanT5,40,60,0.666666666666667,0.07093879274900368
P2_FlanT5_06,FlanT5,FlanT5,2,reaction,6,P2FlanT5,47,60,0.783333333333333,0.015474882372716927
P2_FlanT5_07,FlanT5,FlanT5,2,reaction,7,P2FlanT5,49,60,0.816666666666667,0.02730757818141665
P2_FlanT5_08,FlanT5,FlanT5,2,reaction,8,P2FlanT5,35,60,0.583333333333333,0.023194829751361026
P2_FlanT5_09,FlanT5,FlanT5,2,reaction,9,P2FlanT5,37,60,0.616666666666667,0.07111145469477387
P2_FlanT5_10,FlanT5,FlanT5,2,reaction,10,P2FlanT5,37,60,0.616666666666667,0.05762031692118024
P2_FlanT5_11,FlanT5,FlanT5,2,reaction,11,P2FlanT5,40,60,0.666666666666667,0.06730318089836992
P2_FlanT5_12,FlanT5,FlanT5,2,reaction,12,P2FlanT5,28,60,0.466666666666667,0.042278304773845275
P2_FlanT5_13,FlanT5,FlanT5,2,reaction,13,P2FlanT5,36,60,0.6,0.04386192955986935
P2_FlanT5_14,FlanT5,FlanT5,2,reaction,14,P2FlanT5,26,60,0.433333333333333,0.01202147289496838
P2_FlanT5_15,FlanT5,FlanT5,2,reaction,15,P2FlanT5,43,60,0.716666666666667,0.047629603690765486
P3_FlanT5_01,FlanT5,FlanT5,3,account,1,P3FlanT5,30,59,0.508474576271186,0.06458911325367064
P3_FlanT5_02,FlanT5,FlanT5,3,account,2,P3FlanT5,26,59,0.440677966101695,0.04691268300335177
P3_FlanT5_03,FlanT5,FlanT5,3,account,3,P3FlanT5,40,59,0.677966101694915,0.03533624183106399
P3_FlanT5_04,FlanT5,FlanT5,3,account,4,P3FlanT5,34,59,0.576271186440678,0.06844898456464445
P3_FlanT5_05,FlanT5,FlanT5,3,account,5,P3FlanT5,27,59,0.457627118644068,0.06073248660059871
P3_FlanT5_06,FlanT5,FlanT5,3,account,6,P3FlanT5,34,59,0.576271186440678,0.0
P3_FlanT5_07,FlanT5,FlanT5,3,account,7,P3FlanT5,42,59,0.711864406779661,0.028871809998703257
P3_FlanT5_08,FlanT5,FlanT5,3,account,8,P3FlanT5,26,59,0.440677966101695,0.07235367764552511
P3_FlanT5_09,FlanT5,FlanT5,3,account,9,P3FlanT5,43,59,0.728813559322034,0.016775631780248015
P3_FlanT5_10,FlanT5,FlanT5,3,account,10,P3FlanT5,33,59,0.559322033898305,0.06956485356906121
P3_FlanT5_11,FlanT5,FlanT5,3,account,11,P3FlanT5,32,59,0.542372881355932,0.012774280507526409
P3_FlanT5_12,FlanT5,FlanT5,3,account,12,P3FlanT5,27,59,0.457627118644068,0.09855985293092853
P3_FlanT5_13,FlanT5,FlanT5,3,account,13,P3FlanT5,31,59,0.525423728813559,0.05325647243609131
P3_FlanT5_14,FlanT5,FlanT5,3,account,14,P3FlanT5,8,59,0.135593220338983,0.009362306510206394
P3_FlanT5_15,FlanT5,FlanT5,3,account,15,P3FlanT5,35,59,0.593220338983051,0.0888993750453024
P4_FlanT5_01,FlanT5,FlanT5,4,reply,1,P4FlanT5,43,59,0.728813559322034,0.09516603443027641
P4_FlanT5_02,FlanT5,FlanT5,4,reply,2,P4FlanT5,27,59,0.457627118644068,0.09942841636814027
P4_FlanT5_03,FlanT5,FlanT5,4,reply,3,P4FlanT5,18,59,0.305084745762712,0.017711440290210437
P4_FlanT5_04,FlanT5,FlanT5,4,reply,4,P4FlanT5,32,59,0.542372881355932,0.0611499680793399
P4_FlanT5_05,FlanT5,FlanT5,4,reply,5,P4FlanT5,48,59,0.813559322033898,0.09555764334002727
P4_FlanT5_06,FlanT5,FlanT5,4,reply,6,P4FlanT5,40,59,0.677966101694915,0.06694480499444673
P4_FlanT5_07,FlanT5,FlanT5,4,reply,7,P4FlanT5,28,59,0.474576271186441,0.08724466307117869
P4_FlanT5_08,FlanT5,FlanT5,4,reply,8,P4FlanT5,43,59,0.728813559322034,0.09278641235583164
P4_FlanT5_09,FlanT5,FlanT5,4,reply,9,P4FlanT5,48,59,0.813559322033898,0.0
