id,model,ai_model,pipeline_stage_id,pipeline_stage,content_num,content_group,times_assigned_human,total_assignments,proportions,content_group_sim_tfidf
P1_FlanT5_01,FlanT5,FlanT5,1,news,1,P1FlanT5,21,52,0.403846153846154,0.5756458088648563
P1_FlanT5_02,FlanT5,FlanT5,1,news,2,P1FlanT5,25,52,0.480769230769231,0.5510598607624236
P1_FlanT5_03,FlanT5,FlanT5,1,news,3,P1FlanT5,32,52,0.615384615384615,0.572687733034581
P1_FlanT5_04,FlanT5,FlanT5,1,news,4,P1FlanT5,29,52,0.557692307692308,0.468428939906937
P1_FlanT5_05,FlanT5,FlanT5,1,news,5,P1FlanT5,22,52,0.423076923076923,0.3939433666696405
P1_FlanT5_06,FlanT5,FlanT5,1,news,6,P1FlanT5,28,52,0.538461538461538,0.4748454782512499
P1_FlanT5_07,FlanT5,FlanT5,1,news,7,P1FlanT5,30,52,0.576923076923077,0.4742877934201419
P1_FlanT5_08,FlanT5,FlanT5,1,news,8,P1FlanT5,28,52,0.538461538461538,0.5523732806366428
P1_FlanT5_09,FlanT5,FlanT5,1,news,9,P1FlanT5,27,52,0.519230769230769,0.5507821103883163
P1_FlanT5_10,FlanT5,FlanT5,1,news,10,P1FlanT5,28,52,0.538461538461538,0.4965060535203373
P1_FlanT5_11,FlanT5,FlanT5,1,news,11,P1FlanT5,27,52,0.519230769230769,0.564255280165652
P1_FlanT5_12,FlanT5,FlanT5,1,news,12,P1FlanT5,27,52,0.519230769230769,0.48999275461131503
P1_FlanT5_13,FlanT5,FlanT5,1,news,13,P1FlanT5,31,52,0.596153846153846,0.47882569974680383
P1_FlanT5_14,FlanT5,FlanT5,1,news,14,P1FlanT5,7,52,0.134615384615385,0.47259438100949774
P1_FlanT5_15,FlanT5,FlanT5,1,news,15,P1FlanT5,18,52,0.346153846153846,0.49737401468163756
P2_FlanT5_01,FlanT5,FlanT5,2,reaction,1,P2FlanT5,31,60,0.516666666666667,0.3105739852230522
P2_FlanT5_02,FlanT5,FlanT5,2,reaction,2,P2FlanT5,14,60,0.233333333333333,0.3925877481388604
P2_FlanT5_03,FlanT5,FlanT5,2,reaction,3,P2FlanT5,13,60,0.216666666666667,0.39945051361649914
P2_FlanT5_04,FlanT5,FlanT5,2,reaction,4,P2FlanT5,28,60,0.466666666666667,0.30034149962352746
P2_FlanT5_05,FlanT5,FlanT5,2,reaction,5,P2FlanT5,34,60,0.566666666666667,0.15022835060711465
P2_FlanT5_06,FlanT5,FlanT5,2,reaction,6,P2FlanT5,44,60,0.733333333333333,0.33040448119366334
P2_FlanT5_07,FlanT5,FlanT5,2,reaction,7,P2FlanT5,26,60,0.433333333333333,0.32826611436009356
P2_FlanT5_08,FlanT5,FlanT5,2,reaction,8,P2FlanT5,30,60,0.5,0.20589269432594337
P2_FlanT5_09,FlanT5,FlanT5,2,reaction,9,P2FlanT5,38,60,0.633333333333333,0.11357612898400081
P2_FlanT5_10,FlanT5,FlanT5,2,reaction,10,P2FlanT5,19,60,0.316666666666667,0.40046740867983804
P2_FlanT5_11,FlanT5,FlanT5,2,reaction,11,P2FlanT5,39,60,0.65,0.19455123987315895
P2_FlanT5_12,FlanT5,FlanT5,2,reaction,12,P2FlanT5,18,60,0.3,0.42820454535333985
P2_FlanT5_13,FlanT5,FlanT5,2,reaction,13,P2FlanT5,34,60,0.566666666666667,0.33014257857855084
P2_FlanT5_14,FlanT5,FlanT5,2,reaction,14,P2FlanT5,27,60,0.45,0.22090452297626548
P2_FlanT5_15,FlanT5,FlanT5,2,reaction,15,P2FlanT5,47,60,0.783333333333333,0.27725405082907334
P3_FlanT5_01,FlanT5,FlanT5,3,account,1,P3FlanT5,20,59,0.338983050847458,0.17170276417155966
P3_FlanT5_02,FlanT5,FlanT5,3,account,2,P3FlanT5,27,59,0.457627118644068,0.46038063215587893
P3_FlanT5_03,FlanT5,FlanT5,3,account,3,P3FlanT5,19,59,0.322033898305085,0.456037368489549
P3_FlanT5_04,FlanT5,FlanT5,3,account,4,P3FlanT5,25,59,0.423728813559322,0.5331551558284502
P3_FlanT5_05,FlanT5,FlanT5,3,account,5,P3FlanT5,26,59,0.440677966101695,0.442463944358005
P3_FlanT5_06,FlanT5,FlanT5,3,account,6,P3FlanT5,21,59,0.35593220338983,0.5773188712085922
P3_FlanT5_07,FlanT5,FlanT5,3,account,7,P3FlanT5,20,59,0.338983050847458,0.4121904155521162
P3_FlanT5_08,FlanT5,FlanT5,3,account,8,P3FlanT5,25,59,0.423728813559322,0.16372076337091368
P3_FlanT5_09,FlanT5,FlanT5,3,account,9,P3FlanT5,23,59,0.389830508474576,0.5773188712085922
P3_FlanT5_10,FlanT5,FlanT5,3,account,10,P3FlanT5,27,59,0.457627118644068,0.5090460093226644
P3_FlanT5_11,FlanT5,FlanT5,3,account,11,P3FlanT5,28,59,0.474576271186441,0.5311877655505949
P3_FlanT5_12,FlanT5,FlanT5,3,account,12,P3FlanT5,22,59,0.372881355932203,0.5090460093226644
P3_FlanT5_13,FlanT5,FlanT5,3,account,13,P3FlanT5,26,59,0.440677966101695,0.5317289581839095
P3_FlanT5_14,FlanT5,FlanT5,3,account,14,P3FlanT5,24,59,0.406779661016949,0.4688937949959581
P3_FlanT5_15,FlanT5,FlanT5,3,account,15,P3FlanT5,26,59,0.440677966101695,0.5214853273519772
P4_FlanT5_01,FlanT5,FlanT5,4,reply,1,P4FlanT5,27,54,0.5,0.39845514409126004
P4_FlanT5_02,FlanT5,FlanT5,4,reply,2,P4FlanT5,25,54,0.462962962962963,0.42220193664524
P4_FlanT5_03,FlanT5,FlanT5,4,reply,3,P4FlanT5,36,54,0.666666666666667,0.2005900594074453
P4_FlanT5_04,FlanT5,FlanT5,4,reply,4,P4FlanT5,24,54,0.444444444444444,0.30975018364004264
P4_FlanT5_05,FlanT5,FlanT5,4,reply,5,P4FlanT5,28,54,0.518518518518518,0.14573703485421066
P4_FlanT5_06,FlanT5,FlanT5,4,reply,6,P4FlanT5,36,54,0.666666666666667,0.2833776579312574
P4_FlanT5_07,FlanT5,FlanT5,4,reply,7,P4FlanT5,33,54,0.611111111111111,0.24477004832154864
P4_FlanT5_08,FlanT5,FlanT5,4,reply,8,P4FlanT5,27,54,0.5,0.4222019366452399
P4_FlanT5_09,FlanT5,FlanT5,4,reply,9,P4FlanT5,29,54,0.537037037037037,0.20135379971408912
P4_FlanT5_10,FlanT5,FlanT5,4,reply,10,P4FlanT5,23,54,0.425925925925926,0.3283813208999006
P4_FlanT5_11,FlanT5,FlanT5,4,reply,11,P4FlanT5,34,54,0.62962962962963,0.33240307383895
P4_FlanT5_12,FlanT5,FlanT5,4,reply,12,P4FlanT5,30,54,0.555555555555556,0.28160444574538845
P4_FlanT5_13,FlanT5,FlanT5,4,reply,13,P4FlanT5,33,54,0.611111111111111,0.2620189682455413
P4_FlanT5_14,FlanT5,FlanT5,4,reply,14,P4FlanT5,26,54,0.481481481481481,0.3557814251880247
P4_FlanT5_15,FlanT5,FlanT5,4,reply,15,P4FlanT5,23,54,0.425925925925926,0.4531374203853741
P1_H_01.FlanT5,H,FlanT5,1,news,1,P1H,26,52,0.5,0.24152553744241678
P1_H_02.FlanT5,H,FlanT5,1,news,2,P1H,23,52,0.442307692307692,0.23396781962574176
P1_H_03.FlanT5,H,FlanT5,1,news,3,P1H,32,52,0.615384615384615,0.21286540782976152
P1_H_04.FlanT5,H,FlanT5,1,news,4,P1H,38,52,0.730769230769231,0.2209251102470042
P1_H_05.FlanT5,H,FlanT5,1,news,5,P1H,23,52,0.442307692307692,0.18613077286538443
P1_H_06.FlanT5,H,FlanT5,1,news,6,P1H,24,52,0.461538461538462,0.22652374680874773
P1_H_07.FlanT5,H,FlanT5,1,news,7,P1H,29,52,0.557692307692308,0.23585911029666912
P1_H_08.FlanT5,H,FlanT5,1,news,8,P1H,26,52,0.5,0.23397611174729435
P1_H_09.FlanT5,H,FlanT5,1,news,9,P1H,17,52,0.326923076923077,0.18959077067378902
P1_H_10.FlanT5,H,FlanT5,1,news,10,P1H,27,52,0.519230769230769,0.24442475850958242
P1_H_11.FlanT5,H,FlanT5,1,news,11,P1H,27,52,0.519230769230769,0.25532604949675897
P1_H_12.FlanT5,H,FlanT5,1,news,12,P1H,25,52,0.480769230769231,0.23715564992573407
P1_H_13.FlanT5,H,FlanT5,1,news,13,P1H,24,52,0.461538461538462,0.17304375537173877
P1_H_14.FlanT5,H,FlanT5,1,news,14,P1H,35,52,0.673076923076923,0.24597543694098792
P1_H_15.FlanT5,H,FlanT5,1,news,15,P1H,35,52,0.673076923076923,0.2448292947598642
P2_H_01.FlanT5,H,FlanT5,2,reaction,1,P2H,41,60,0.683333333333333,0.09673450931484452
P2_H_02.FlanT5,H,FlanT5,2,reaction,2,P2H,41,60,0.683333333333333,0.09861741918325503
P2_H_03.FlanT5,H,FlanT5,2,reaction,3,P2H,49,60,0.816666666666667,0.10633373477426038
P2_H_04.FlanT5,H,FlanT5,2,reaction,4,P2H,44,60,0.733333333333333,0.12037742340797035
P2_H_05.FlanT5,H,FlanT5,2,reaction,5,P2H,36,60,0.6,0.09103811947177834
P2_H_06.FlanT5,H,FlanT5,2,reaction,6,P2H,48,60,0.8,0.1040913531536842
P2_H_07.FlanT5,H,FlanT5,2,reaction,7,P2H,51,60,0.85,0.09715870012141858
P2_H_08.FlanT5,H,FlanT5,2,reaction,8,P2H,48,60,0.8,0.0570855669166246
P2_H_09.FlanT5,H,FlanT5,2,reaction,9,P2H,38,60,0.633333333333333,0.14689432614297426
P2_H_10.FlanT5,H,FlanT5,2,reaction,10,P2H,47,60,0.783333333333333,0.1094994559358395
P2_H_11.FlanT5,H,FlanT5,2,reaction,11,P2H,41,60,0.683333333333333,0.09347582759273032
P2_H_12.FlanT5,H,FlanT5,2,reaction,12,P2H,37,60,0.616666666666667,0.08757101836694901
P2_H_13.FlanT5,H,FlanT5,2,reaction,13,P2H,44,60,0.733333333333333,0.10262369897520042
P2_H_14.FlanT5,H,FlanT5,2,reaction,14,P2H,45,60,0.75,0.0945968498896499
P2_H_15.FlanT5,H,FlanT5,2,reaction,15,P2H,46,60,0.766666666666667,0.10795499212060049
P3_H_01.FlanT5,H,FlanT5,3,account,1,P3H,45,59,0.76271186440678,0.07971020877301897
P3_H_02.FlanT5,H,FlanT5,3,account,2,P3H,40,59,0.677966101694915,0.10044424049825598
P3_H_03.FlanT5,H,FlanT5,3,account,3,P3H,40,59,0.677966101694915,0.05009183081705276
P3_H_04.FlanT5,H,FlanT5,3,account,4,P3H,46,59,0.779661016949153,0.026667428656138102
P3_H_05.FlanT5,H,FlanT5,3,account,5,P3H,42,59,0.711864406779661,0.04714660182789305
P3_H_06.FlanT5,H,FlanT5,3,account,6,P3H,38,59,0.64406779661017,0.039971355678029015
P3_H_07.FlanT5,H,FlanT5,3,account,7,P3H,41,59,0.694915254237288,0.05367508440069916
P3_H_08.FlanT5,H,FlanT5,3,account,8,P3H,39,59,0.661016949152542,0.0
P3_H_09.FlanT5,H,FlanT5,3,account,9,P3H,43,59,0.728813559322034,0.05995212442055563
P3_H_10.FlanT5,H,FlanT5,3,account,10,P3H,36,59,0.610169491525424,0.08119897050386514
P3_H_11.FlanT5,H,FlanT5,3,account,11,P3H,37,59,0.627118644067797,0.056227072032934027
P3_H_12.FlanT5,H,FlanT5,3,account,12,P3H,32,59,0.542372881355932,0.05646361106303096
P3_H_13.FlanT5,H,FlanT5,3,account,13,P3H,34,59,0.576271186440678,0.01415440557791059
P3_H_14.FlanT5,H,FlanT5,3,account,14,P3H,41,59,0.694915254237288,0.048089149510285215
P3_H_15.FlanT5,H,FlanT5,3,account,15,P3H,36,59,0.610169491525424,0.07203781621105235
P4_H_01.FlanT5,H,FlanT5,4,reply,1,P4H,51,54,0.944444444444444,0.07390127055806854
P4_H_02.FlanT5,H,FlanT5,4,reply,2,P4H,47,54,0.87037037037037,0.05570538507562193
P4_H_03.FlanT5,H,FlanT5,4,reply,3,P4H,42,54,0.777777777777778,0.10452730100128078
P4_H_04.FlanT5,H,FlanT5,4,reply,4,P4H,44,54,0.814814814814815,0.07583142691010547
P4_H_05.FlanT5,H,FlanT5,4,reply,5,P4H,44,54,0.814814814814815,0.06851206940803233
P4_H_06.FlanT5,H,FlanT5,4,reply,6,P4H,44,54,0.814814814814815,0.07558355432882012
P4_H_07.FlanT5,H,FlanT5,4,reply,7,P4H,42,54,0.777777777777778,0.03512729588697048
P4_H_08.FlanT5,H,FlanT5,4,reply,8,P4H,48,54,0.888888888888889,0.05423464336642931
P4_H_09.FlanT5,H,FlanT5,4,reply,9,P4H,37,54,0.685185185185185,0.06238743068682317
P4_H_10.FlanT5,H,FlanT5,4,reply,10,P4H,44,54,0.814814814814815,0.05782912140855206
P4_H_11.FlanT5,H,FlanT5,4,reply,11,P4H,43,54,0.796296296296296,0.09673394317608495
P4_H_12.FlanT5,H,FlanT5,4,reply,12,P4H,47,54,0.87037037037037,0.07293300638355808
P4_H_13.FlanT5,H,FlanT5,4,reply,13,P4H,40,54,0.740740740740741,0.07783914183397948
P4_H_14.FlanT5,H,FlanT5,4,reply,14,P4H,36,54,0.666666666666667,0.06739313225606368
P4_H_15.FlanT5,H,FlanT5,4,reply,15,P4H,47,54,0.87037037037037,0.08840248670668335
P1_GPT2_01,GPT2,GPT2,1,news,1,P1GPT2,9,56,0.160714285714286,0.10610229161214445
P1_GPT2_02,GPT2,GPT2,1,news,2,P1GPT2,11,56,0.196428571428571,0.18473917229317954
P1_GPT2_03,GPT2,GPT2,1,news,3,P1GPT2,13,56,0.232142857142857,0.12558008200227014
P1_GPT2_04,GPT2,GPT2,1,news,4,P1GPT2,23,56,0.410714285714286,0.11239623370474575
P1_GPT2_05,GPT2,GPT2,1,news,5,P1GPT2,16,56,0.285714285714286,0.19106973939982375
P1_GPT2_06,GPT2,GPT2,1,news,6,P1GPT2,16,56,0.285714285714286,0.1470694463164593
P1_GPT2_07,GPT2,GPT2,1,news,7,P1GPT2,25,56,0.446428571428571,0.1469169525268423
P1_GPT2_08,GPT2,GPT2,1,news,8,P1GPT2,19,56,0.339285714285714,0.19684719893042252
