id,model,ai_model,pipeline_stage_id,pipeline_stage,content_num,content_group,times_assigned_human,total_assignments,proportions,content_group_sim_tfidf
P1_FlanT5_01,FlanT5,FlanT5,1,news,1,P1FlanT5,38,61,0.622950819672131,0.2090971928975498
P1_FlanT5_02,FlanT5,FlanT5,1,news,2,P1FlanT5,26,61,0.426229508196721,0.1130395854727517
P1_FlanT5_03,FlanT5,FlanT5,1,news,3,P1FlanT5,18,61,0.295081967213115,0.07271559640274158
P1_FlanT5_04,FlanT5,FlanT5,1,news,4,P1FlanT5,23,61,0.377049180327869,0.10456223937776013
P1_FlanT5_05,FlanT5,FlanT5,1,news,5,P1FlanT5,37,61,0.60655737704918,0.13375269377745838
P1_FlanT5_06,FlanT5,FlanT5,1,news,6,P1FlanT5,34,61,0.557377049180328,0.11111761314585912
P1_FlanT5_07,FlanT5,FlanT5,1,news,7,P1FlanT5,42,61,0.688524590163934,0.124374237665771
P1_FlanT5_08,FlanT5,FlanT5,1,news,8,P1FlanT5,23,61,0.377049180327869,0.14717984144965365
P1_FlanT5_09,FlanT5,FlanT5,1,news,9,P1FlanT5,36,61,0.59016393442623,0.16115152148598075
P1_FlanT5_10,FlanT5,FlanT5,1,news,10,P1FlanT5,38,61,0.622950819672131,0.14899696758252756
P1_FlanT5_11,FlanT5,FlanT5,1,news,11,P1FlanT5,37,61,0.60655737704918,0.17574042873649015
P1_FlanT5_12,FlanT5,FlanT5,1,news,12,P1FlanT5,18,61,0.295081967213115,0.11029246969348193
P1_FlanT5_13,FlanT5,FlanT5,1,news,13,P1FlanT5,28,61,0.459016393442623,0.05744636584790724
P1_FlanT5_14,FlanT5,FlanT5,1,news,14,P1FlanT5,29,61,0.475409836065574,0.10954567806551352
P1_FlanT5_15,FlanT5,FlanT5,1,news,15,P1FlanT5,21,61,0.344262295081967,0.1312732419788397
P2_FlanT5_01,FlanT5,FlanT5,2,reaction,1,P2FlanT5,49,57,0.859649122807018,0.07089504892596192
P2_FlanT5_02,FlanT5,FlanT5,2,reaction,2,P2FlanT5,30,57,0.526315789473684,0.04864541829820623
P2_FlanT5_03,FlanT5,FlanT5,2,reaction,3,P2FlanT5,29,57,0.508771929824561,0.06466986224385661
P2_FlanT5_04,FlanT5,FlanT5,2,reaction,4,P2FlanT5,18,57,0.31578947368421,0.043833193833181676
P2_FlanT5_05,FlanT5,FlanT5,2,reaction,5,P2FlanT5,24,57,0.421052631578947,0.05131150088639871
P2_FlanT5_06,FlanT5,FlanT5,2,reaction,6,P2FlanT5,35,57,0.614035087719298,0.07783672748663907
P2_FlanT5_07,FlanT5,FlanT5,2,reaction,7,P2FlanT5,19,57,0.333333333333333,0.05256376920549545
P2_FlanT5_08,FlanT5,FlanT5,2,reaction,8,P2FlanT5,23,57,0.403508771929825,0.05169462461118459
P2_FlanT5_09,FlanT5,FlanT5,2,reaction,9,P2FlanT5,33,57,0.578947368421053,0.042879249082798096
P2_FlanT5_10,FlanT5,FlanT5,2,reaction,10,P2FlanT5,18,57,0.31578947368421,0.03544290488247543
P2_FlanT5_11,FlanT5,FlanT5,2,reaction,11,P2FlanT5,43,57,0.754385964912281,0.030245962670813652
P2_FlanT5_12,FlanT5,FlanT5,2,reaction,12,P2FlanT5,25,57,0.43859649122807,0.05479451842322808
P2_FlanT5_13,FlanT5,FlanT5,2,reaction,13,P2FlanT5,31,57,0.543859649122807,0.0653258701606212
P2_FlanT5_14,FlanT5,FlanT5,2,reaction,14,P2FlanT5,13,57,0.228070175438596,0.034940745926081276
P2_FlanT5_15,FlanT5,FlanT5,2,reaction,15,P2FlanT5,18,57,0.31578947368421,0.053790636245799654
P3_FlanT5_01,FlanT5,FlanT5,3,account,1,P3FlanT5,42,57,0.736842105263158,0.03760156478924696
P3_FlanT5_02,FlanT5,FlanT5,3,account,2,P3FlanT5,31,57,0.543859649122807,0.06337020948410896
P3_FlanT5_03,FlanT5,FlanT5,3,account,3,P3FlanT5,39,57,0.68421052631579,0.05895725160670216
P3_FlanT5_04,FlanT5,FlanT5,3,account,4,P3FlanT5,17,57,0.298245614035088,0.01602059035822791
P3_FlanT5_05,FlanT5,FlanT5,3,account,5,P3FlanT5,22,57,0.385964912280702,0.054037006133226595
P3_FlanT5_06,FlanT5,FlanT5,3,account,6,P3FlanT5,20,57,0.350877192982456,0.06280445540430049
P3_FlanT5_07,FlanT5,FlanT5,3,account,7,P3FlanT5,35,57,0.614035087719298,0.03018027230016229
P3_FlanT5_08,FlanT5,FlanT5,3,account,8,P3FlanT5,24,57,0.421052631578947,0.006855793343832557
P3_FlanT5_09,FlanT5,FlanT5,3,account,9,P3FlanT5,14,57,0.245614035087719,0.07926919216122966
P3_FlanT5_10,FlanT5,FlanT5,3,account,10,P3FlanT5,48,57,0.842105263157895,0.07795952549952032
P3_FlanT5_11,FlanT5,FlanT5,3,account,11,P3FlanT5,35,57,0.614035087719298,0.0
P3_FlanT5_12,FlanT5,FlanT5,3,account,12,P3FlanT5,32,57,0.56140350877193,0.0901160390081124
P3_FlanT5_13,FlanT5,FlanT5,3,account,13,P3FlanT5,27,57,0.473684210526316,0.0
P3_FlanT5_14,FlanT5,FlanT5,3,account,14,P3FlanT5,32,57,0.56140350877193,0.09813808685282426
P3_FlanT5_15,FlanT5,FlanT5,3,account,15,P3FlanT5,29,57,0.508771929824561,0.0955028419611683
P4_FlanT5_01,FlanT5,FlanT5,4,reply,1,P4FlanT5,45,58,0.775862068965517,0.04075229431779167
P4_FlanT5_02,FlanT5,FlanT5,4,reply,2,P4FlanT5,21,58,0.362068965517241,0.049771629688203964
P4_FlanT5_03,FlanT5,FlanT5,4,reply,3,P4FlanT5,39,58,0.672413793103448,0.08431638555603173
P4_FlanT5_04,FlanT5,FlanT5,4,reply,4,P4FlanT5,30,58,0.517241379310345,0.06288803138014017
P4_FlanT5_05,FlanT5,FlanT5,4,reply,5,P4FlanT5,27,58,0.46551724137931,0.05716788323169986
P4_FlanT5_06,FlanT5,FlanT5,4,reply,6,P4FlanT5,26,58,0.448275862068966,0.058170259342627206
P4_FlanT5_07,FlanT5,FlanT5,4,reply,7,P4FlanT5,46,58,0.793103448275862,0.009666003500175912
P4_FlanT5_08,FlanT5,FlanT5,4,reply,8,P4FlanT5,47,58,0.810344827586207,0.05325082047070837
P4_FlanT5_09,FlanT5,FlanT5,4,reply,9,P4FlanT5,48,58,0.827586206896552,0.046734233283311034
P4_FlanT5_10,FlanT5,FlanT5,4,reply,10,P4FlanT5,36,58,0.620689655172414,0.04180061684740551
P4_FlanT5_11,FlanT5,FlanT5,4,reply,11,P4FlanT5,24,58,0.413793103448276,0.06694488849585586
P4_FlanT5_12,FlanT5,FlanT5,4,reply,12,P4FlanT5,35,58,0.603448275862069,0.0693180966258493
P4_FlanT5_13,FlanT5,FlanT5,4,reply,13,P4FlanT5,32,58,0.551724137931034,0.052280466536250084
P4_FlanT5_14,FlanT5,FlanT5,4,reply,14,P4FlanT5,21,58,0.362068965517241,0.03621215693500996
P4_FlanT5_15,FlanT5,FlanT5,4,reply,15,P4FlanT5,32,58,0.551724137931034,0.06567891421084505
P1_H_01.FlanT5,H,FlanT5,1,news,1,P1H,41,61,0.672131147540984,0.11383280098209726
P1_H_02.FlanT5,H,FlanT5,1,news,2,P1H,35,61,0.573770491803279,0.13579645843578478
P1_H_03.FlanT5,H,FlanT5,1,news,3,P1H,29,61,0.475409836065574,0.2032561153377704
P1_H_04.FlanT5,H,FlanT5,1,news,4,P1H,36,61,0.59016393442623,0.22256519141362016
P1_H_05.FlanT5,H,FlanT5,1,news,5,P1H,33,61,0.540983606557377,0.1659419695909608
P1_H_06.FlanT5,H,FlanT5,1,news,6,P1H,27,61,0.442622950819672,0.14582036594617492
P1_H_07.FlanT5,H,FlanT5,1,news,7,P1H,35,61,0.573770491803279,0.15490362048636025
P1_H_08.FlanT5,H,FlanT5,1,news,8,P1H,27,61,0.442622950819672,0.15737519265947048
P1_H_09.FlanT5,H,FlanT5,1,news,9,P1H,31,61,0.508196721311475,0.181705397704608
P1_H_10.FlanT5,H,FlanT5,1,news,10,P1H,31,61,0.508196721311475,0.1797803142838393
P1_H_11.FlanT5,H,FlanT5,1,news,11,P1H,34,61,0.557377049180328,0.2101258271899221
P1_H_12.FlanT5,H,FlanT5,1,news,12,P1H,47,61,0.770491803278688,0.15834734849094034
P1_H_13.FlanT5,H,FlanT5,1,news,13,P1H,47,61,0.770491803278688,0.2029034180039233
P1_H_14.FlanT5,H,FlanT5,1,news,14,P1H,33,61,0.540983606557377,0.09638819959095649
P1_H_15.FlanT5,H,FlanT5,1,news,15,P1H,45,61,0.737704918032787,0.1918434470600699
P2_H_01.FlanT5,H,FlanT5,2,reaction,1,P2H,49,57,0.859649122807018,0.07144025489714849
P2_H_02.FlanT5,H,FlanT5,2,reaction,2,P2H,38,57,0.666666666666667,0.08326621412794258
